+ Add Milestone,+ Ongeraho Intambwe Nkuru
Task Details,Amakuru y'Umurimo
Task due in {0} days: {1},Umurimo ugomba kurangira mu minsi {0}: {1}
Task due today: {0},Umurimo ugomba kurangira uyu munsi: {0}
Task due tomorrow: {0},Umurimo ugomba kurangira ejo: {0}
Task duplicated,Umurimo wasubiwe
Task Group,Itsinda ry'Umurimo
Task ID is required,Inomero y'umurimo isabwa
Task is blocked by incomplete dependencies,Umurimo uhagaritswe n'isano zitarangiye
Task is cancelled,Umurimo wahagaritswe
Task is completed,Umurimo warangiye
Task is no longer blocked by a group,Umurimo ntugihagarikwa n'itsinda
Task is required for task context,Umurimo usabwa ku miterere y'umurimo
Task is required when tracking context is 'task',Umurimo usabwa imiterere yo gukurikirana iri 'umurimo'
Task linked,Umurimo wahujwe
Task moved,Umurimo wimuwe
Task name,Izina ry'umurimo
Task name is required,Izina ry'umurimo risabwa
Task removed from group,Umurimo wakuwe mu itsinda
Task Subject,Insanganyamatsiko y'Umurimo
Task subject is required,Insanganyamatsiko y'umurimo isabwa
Task Type,Ubwoko bw'Umurimo
Task unblocked: {0},Umurimo wafunguwe: {0}
Task unlinked,Umurimo wahujwe wakuwe
Task updated,Umurimo wahinduwe
Task {0} not found,Umurimo {0} ntiwaboneye
Task {0} not in project {1},Umurimo {0} ntiwari mu mushinga {1}
Task {0} to Frappe,Umurimo {0} kuri Frappe
Tasks,Imirimo
tasks,imirimo
Tasks and milestones will be created with dates relative to the project start date.,Imirimo n'intambwe nkuru bizakozwa hamwe n'amatariki ahuriyeho n'itariki yo gutangira umushinga.
Tasks assigned to you across all projects.,Imirimo wagenewe mu mishinga yose.
Tasks created:,Imirimo yakozwe:
Tasks from projects you manage.,Imirimo y'imishinga uyobora.
Tasks updated:,Imirimo yahinduwe:
"Tasks, milestones, and dependencies have been created.","Imirimo, intambwe nkuru, n'isano byakozwe."
Tasks:,Imirimo:
TBD,Bizamenyekana
Team,Itsinda
Team Members,Abanyamuryango b'Itsinda
Template,Ingero
Template applied,Ingero yakoreshejwe
Template data is required in import data,Amakuru y'ingero asabwa mu makuru yo kwinjiza
Template has no data,Ingero nta makuru ifite
Template Name,Izina ry'Ingero
Template name,Izina ry'ingero
Template name is required,Izina ry'ingero risabwa
Template name is required in import data,Izina ry'ingero risabwa mu makuru yo kwinjiza
Template saved,Ingero yabitswe
Template updated successfully.,Ingero yahinduwe neza.
Template {0} not found,Ingero {0} ntiyabonetse
Templates,Ingero
Tentative,Ntabwo bizeye
The comment has been deleted,Igitekerezo cyasibwe
The project,Umushinga
The source document may have been deleted.,Inyandiko y'inkomoko ishobora kuba yarasibwe.
The source document will not be affected.,Inyandiko y'inkomoko ntizareba.
The status of '{0}' was changed from {1} to {2}.,Imiterere ya '{0}' yahinduwe kuva {1} kugera {2}.
Theme,Insanganyamatsiko
Theme preference,Ihitamo ry'insanganyamatsiko
This action,Iki gikorwa
This action cannot be undone.,Iki gikorwa ntigishobora gusubizwaho.
This activity has been flagged for attention,Iki gikorwa cyashyizweho ikimenyetso ngo kitite
This is a reminder for your upcoming appointment,Iri ni urwibutso rw'igahunda yawe iri imbere
This method is only meant for developer mode,Ubu buryo ni ubw'imiterere y'umuhanga gusa
This page wandered off,This page wandered off
This Week,Iki Cyumweru
This will delete all notes and preferences associated with this activity.,Ibi bizasiba amandiko n'ibyashimwe byose bihuriye n'iki gikorwa.
This will import all Frappe Projects into Orga. Continue?,Ibi bizinjiza imishinga yose ya Frappe muri Orga. Komeza?
This will permanently delete,Ibi bizasiba burundu
This will permanently delete:,Ibi bizasiba burundu:
Thu,Kan
Time,Igihe
Time & Billing,Igihe n'Ubwishyu
Time & Revenue,Igihe n'Inyungu
Time Entries,Inyandiko z'Igihe
Time log name is required,Izina ry'inyandiko y'igihe risabwa
Time Log not found,Inyandiko y'igihe ntiyabonetse
Time log {0} not found,Inyandiko y'igihe {0} ntiyabonetse
Time Logs,Inyandiko z'Igihe
Time Summary,Incamake y'Igihe
Time Tracking,Gukurikirana Igihe
Timeline,Umurongo w'igihe
Timer active on,Isaha irakora kuri
Timer is not running,Isaha ntirakora
Timer Running,Isaha Irakora
Timer running,Isaha irakora
Timesheet DocType not available,DocType y'Urupapuro rw'igihe ntiboneka
Timesheets,Amapapuro y'igihe
Timezone,Akarere k'isaha
Timezone is detected from your browser,Akarere k'isaha kagaragajwe n'umushakisha wawe
Title,Umutwe
Title cannot exceed 255 characters,Umutwe ntushobora kurenza inyuguti 255
Title is required,Umutwe usabwa
Title updated,Umutwe wahinduwe
To,Kuri
to,kuri
to cancel,guhagarika
to close,gufunga
to confirm:,kwemeza:
to edit,guhindura
"to save,","kubika,"
To Time cannot be before From Time,Isaha yo Kurangirira ntishobora kuba mbere y'Isaha yo Gutangira
Today,Uyu munsi
today,uyu munsi
Toggle billable,Hindura ubwishyu
Toggle Details Panel,Erekana/Hisha Icyapa cy'Amakuru
Toggle Manager Panel,Erekana/Hisha Icyapa cy'Umuyobozi
Toggle Sidebar,Erekana/Hisha Uruhande
Tomorrow,Ejo
tomorrow,ejo
Total,Igiteranyo
Total Budget,Ingengo y'Imari Yose
Total Contacts,Abantu Bose bo Guhamagara
Total Cost,Igiciro Cyose
Total Cost to Org,Igiciro Cyose ku Ishyirahamwe
Total Defect Cost,Igiciro Cyose cy'Amakosa
Total Hours,Amasaha Yose
Total Hours Logged,Amasaha Yose Yanditswe
Total Projects,Imishinga Yose
Total Spent,Igiteranyo Cyakoreshejwe
Total Tasks,Imirimo Yose
Total:,Igiteranyo:
Tracked,Byakurikiranwe
trails to today while Open at 0%,biragusunika kugeza uyu munsi bibaye Ifunguye kuri 0%
Tried:,Tried:
Try adjusting your filter criteria,Gerageza guhindura ibipimo by'igihinguranya
Try adjusting your filters.,Gerageza guhindura ibihinguranya byawe.
Try Again,Ongera Ugerageze
Tue,Kbe
Type,Ubwoko
Type updated,Ubwoko bwahinduwe
Type:,Ubwoko:
Typical response time: 1-2 business days,Igihe gisanzwe cyo gusubiza: iminsi 1-2 y'akazi
Unarchive,Kura mu bubiko
Unarchive Activity,Kura Igikorwa mu Bubiko
Unassign,Kura igenerwa
Unassigned,Ntibyagenewe
Under Budget,Munsi y'Ingengo y'Imari
Ungrouped,Ntibyahujwe
Unknown,Ntibizwi
Unknown error,Ikosa ritazwi
Unlink failed,Gukura isano byanze
Unlink task from milestone,Kura isano y'umurimo n'intambwe nkuru
Unpin,Kura ku kibaho
Unpin Activity,Kura Igikorwa ku Kibaho
Unread,Ntibwasomwe
Unread only,Bitasomwe gusa
Until,Kugeza
Up to Date,Up to Date
Upcoming,Biri Imbere
upcoming,iri imbere
Update,Update
Update Available,Update Available
Update available,Update available
Update available: v{0},Update available: v{0}
Update check failed: {0},Update check failed: {0}
Update failed,Guhindura byanze
Updated,Byahinduwe
Updated successfully,Byahinduwe neza
Updates,Updates
Upload,Ohereza
Upload failed,Kohereza byanze
Upload files below to attach them to this task.,Ohereza dosiye hano hepfo kuzishyira kuri uyu murimo.
Upload to project,Ohereza ku mushinga
Uploading...,Birohererwa...
Urgent,Byihutirwa
User {0} is already linked to client {1},Umukoresha {0} asanzwe ahujwe n'umukiriya {1}
User {0} is already linked to resource {1},Umukoresha {0} asanzwe ahujwe n'umutungo {1}
Utilization,Imikoreshereze
Valid,Nyakuri
Value:,Agaciro:
Variance,Itandukaniro
Variance:,Itandukaniro:
Version {0} is available. You are running {1}.,Version {0} is available. You are running {1}.
View,Reba
View All,Reba Byose
View all active projects,Reba imishinga yose irakora
View all open tasks,Reba imirimo yose ifunguye
View overdue tasks,Reba imirimo yatinze
View Release,View Release
Visibility,Igaragara
Waiting for this task,Birategereje uyu murimo
Waits for:,Bitegereje:
Warning: Resource {0} status is {1},Umuburo: Imiterere y'umutungo {0} ni {1}
Warning: Using HTTP instead of HTTPS. Webhook payloads may not be secure.,Umuburo: Gukoresha HTTP aho gukoresha HTTPS. Amakuru ya webhook ashobora kutaba atekanye.
Watch budget closely,Kurikirana ingengo y'imari by'ubwitonzi
We'll respond to:,Tuzasubiza kuri:
Webhook deleted,Webhook yasibwe
Webhook name is required,Izina rya webhook risabwa
Webhook not found,Webhook ntiyabonetse
Webhook URL is required,URL ya webhook isabwa
Webhook URL must start with http:// or https://,URL ya webhook igomba gutangirira http:// cyangwa https://
Wed,Ktu
Week,Icyumweru
Weekend,Impera z'icyumweru
Weekly Capacity,Ubushobozi bw'Icyumweru
weekly capacity,ubushobozi bw'icyumweru
Weekly Capacity (h),Ubushobozi bw'Icyumweru (s)
Welcome,Murakaza neza
Welcome back!,Murakaza neza nanone!
Welcome to Orga,Murakaza neza kuri Orga
What are you working on?,Ukora iki?
What did you work on?,Wakoreye iki?
When,Ryari
When work begins,Akazi gatangiye
When work is due,Akazi kagombwa
Where,Hehe
Will capture:,Bizafata:
Will create:,Bizakora:
with checklist items,hamwe n'ibice by'urutonde rwo kugenzura
Working,Birakora
Workload,Umutwaro w'akazi
Workmanship,Ubuhanga mu mirimo
Write a comment...,Andika igitekerezo...
Write a comment... Use @name to mention (Ctrl+Enter to send),Andika igitekerezo... Koresha @izina kuvuga (Ctrl+Enter kohereza)
Year,Umwaka
Yes,Yego
Yesterday,Ejo hashize
yesterday,ejo hashize
You are not an attendee of this appointment,Ntabwo uri umwitabiri w'iyi gahunda
You are not linked to any resource,Ntabwo uhujwe n'umutungo uwo ari wo wose
You are running the latest version of Orga.,You are running the latest version of Orga.
You can only delete your own comments,Ushobora gusiba ibitekerezo byawe gusa
You can only delete your own reactions,Ushobora gusiba ibisubizo byawe gusa
You do not have access to the client portal. Please contact support.,Nta burenganzira ufite bwo kugera ku muryango w'umukiriya. Hamagara ubufasha.
You have already reacted with '{0}',Usanzwe wasubije '{0}'
You have been assigned to task '{0}' in project '{1}'.,Wagenewe umurimo '{0}' mu mushinga '{1}'.
You have been assigned to: {0},Wagenewe: {0}
You have been invited to the following appointment,Watumiriwe kuri iyi gahunda ikurikira
You have no tasks assigned to you right now.,Nta murimo wagenewe ubu.
You were mentioned in {0},Wavuzwe muri {0}
Your attendance,Ukwitabira Kwawe
Your comment has been posted,Igitekerezo cyawe cyatangajwe
Your Projects,Imishinga Yawe
Your projects will appear here once they're assigned to you.,Imishinga yawe izagaragara hano ikugenewe.
Your Response,Igisubizo Cyawe
Your RSVP,RSVP Yawe
Your support request has been submitted successfully.,Icyifuzo cyawe cy'ubufasha cyoherejwe neza.
Your support request has been submitted successfully. We'll get back to you shortly.,Icyifuzo cyawe cy'ubufasha cyoherejwe neza. Tuzakugarukaho vuba.
"Your task ""{0}"" is no longer blocked and can now be started.","Umurimo wawe ""{0}"" ntukihagaritswe kandi urashobora gutangira ubu."
{0} is required,{0} bisabwa
{0} new activities,ibikorwa bishya {0}
{0} of {1} completed,{0} kuri {1} byarangiye
{0} projects already migrated (will be skipped or updated),imishinga {0} isanzwe yimuwe (izasimbukwa cyangwa ihindurwe)
{0} status changed to {1},Imiterere ya {0} yahinduwe kuri {1}
{0} tasks remaining,imirimo {0} isigaye
{0} tasks without projects will be skipped,imirimo {0} idafite imishinga izasimbukwa
{0} {1} not found,{0} {1} ntiyabonetse
